species;accession;code;incubator;petridish;total;viable;date;germinated
Armeria duriaei;240821-01;240821-01b;Fellfield;5;25;22;29/08/2022;1
Armeria duriaei;240821-01;240821-01b;Fellfield;5;25;22;07/09/2022;1
Armeria duriaei;240821-01;240821-01b;Fellfield;5;25;22;13/09/2022;1
Armeria duriaei;240821-01;240821-01b;Fellfield;5;25;22;19/09/2022;1
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;21/10/2021;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;10/11/2021;16
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;12/04/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;19/04/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;20/04/2022;2
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;26/04/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;03/05/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;10/05/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;17/05/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;24/05/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;31/05/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;07/06/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;14/06/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;22/06/2022;1
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;28/06/2022;1
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;05/07/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;12/07/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;19/07/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;26/07/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;01/08/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;08/08/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;15/08/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;22/08/2022;0
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;29/08/2022;1
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;07/09/2022;1
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;13/09/2022;2
Armeria duriaei;240821-01;240821-01b;Fellfield;6;25;24;19/09/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;21/10/2021;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;10/11/2021;6
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;12/04/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;19/04/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;26/04/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;29/04/2022;1
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;03/05/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;10/05/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;17/05/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;24/05/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;31/05/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;07/06/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;14/06/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;22/06/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;28/06/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;05/07/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;12/07/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;19/07/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;26/07/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;01/08/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;08/08/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;15/08/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;22/08/2022;1
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;29/08/2022;2
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;07/09/2022;0
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;13/09/2022;1
Armeria duriaei;250821-01;250821-01b;Fellfield;5;25;22;19/09/2022;6
Armeria duriaei;250821-01;250821-01b;Fellfield;6;25;23;21/10/2021;0
Armeria duriaei;250821-01;250821-01b;Fellfield;6;25;23;10/11/2021;10
